device_num,device_type,os,os_version,manufacturer,area_code,release_sid,release_session,release_sources,release_params,release_ctime,nbdp_day
723748,2,2,6.1,03,540529,1572654785000fvkpnp,1572654785000723748416198,tencent,ip=3.61.2.222&deviceNum=723748&lon=null&lat=null&aid=null&ctime=1572654905000&sources=tencent&session=1572654785000723748416198&productPage=4320308033801,1573259585000,20191109
928223,2,2,2.8,07,441881,1572654785000mvfnnn,1572654785000928223624678,liebao,ip=95.219.76.152&deviceNum=928223&lon=null&lat=null&aid=null&ctime=1572654919000&sources=liebao&session=1572654785000928223624678&productPage=4320102710201,1573259585000,20191109
928223,2,2,7.1,03,653123,1572654785000mvfnnn,1572654785000928223624678,liebao,ip=95.219.76.152&deviceNum=928223&lon=null&lat=null&aid=null&ctime=1572654919000&sources=liebao&session=1572654785000928223624678&productPage=4320102710201,1573259585000,20191109
784295,9,2,9.7,05,632726,1572654785000qvisko,1572654785000784295423824,baidu,ip=210.121.223.225&deviceNum=784295&lon=null&lat=null&aid=null&ctime=1572655033000&sources=baidu&session=1572654785000784295423824&productPage=4320206519001,1573259585000,20191109
496626,9,2,4.8,05,540522,1572654785000jdesth,1572654785000496626329353,douyin,ip=231.61.62.159&deviceNum=496626&lon=null&lat=null&aid=null&ctime=1572654947000&sources=douyin&session=1572654785000496626329353&productPage=4320303786701,1573259585000,20191109
235966,2,2,2.7,02,610602,1572654785000updxen,1572654785000235966421378,ximalaya,ip=246.85.131.184&deviceNum=235966&lon=null&lat=null&aid=null&ctime=1572654853000&sources=ximalaya&session=1572654785000235966421378&productPage=4320505806501,1573259585000,20191109
275157,9,2,2.4,05,632724,1572654785000pqwgch,1572654785000275157768731,liebao,ip=106.227.203.6&deviceNum=275157&lon=null&lat=null&aid=null&ctime=1572655014000&sources=liebao&session=1572654785000275157768731&productPage=4320603904901,1573259585000,20191109
322548,2,2,5.2,02,632822,1572654785000wtjppb,1572654785000322548126172,liebao,ip=105.247.218.235&deviceNum=322548&lon=null&lat=null&aid=null&ctime=1572654981000&sources=liebao&session=1572654785000322548126172&productPage=4320403173201,1573259585000,20191109
432626,9,2,1.4,05,540227,1572654785000dxifed,1572654785000432626892945,netyex,ip=216.169.184.123&deviceNum=432626&lon=null&lat=null&aid=null&ctime=1572654916000&sources=netyex&session=1572654785000432626892945&productPage=4320808279201,1573259585000,20191109
693898,9,2,2.2,09,620924,1572654785000tnjomq,1572654785000693898367422,ximalaya,ip=130.238.115.6&deviceNum=693898&lon=null&lat=null&aid=null&ctime=1572654861000&sources=ximalaya&session=1572654785000693898367422&productPage=4320503604301,1573259585000,20191109
164237,9,2,9.2,03,360423,1572654785000bpxghm,1572654785000164237721644,douyin,ip=119.26.191.164&deviceNum=164237&lon=null&lat=null&aid=null&ctime=1572655050000&sources=douyin&session=1572654785000164237721644&productPage=4320804560801,1573259585000,20191109
576258,9,2,6.3,05,130528,1572654785000knkhdc,1572654785000576258289611,douyin,ip=244.50.77.107&deviceNum=576258&lon=null&lat=null&aid=null&ctime=1572654849000&sources=douyin&session=1572654785000576258289611&productPage=4320403142301,1573259585000,20191109
144952,2,2,9.7,08,450721,1572654785000kjeqfp,1572654785000144952394373,douyin,ip=65.94.171.34&deviceNum=144952&lon=null&lat=null&aid=null&ctime=1572655078000&sources=douyin&session=1572654785000144952394373&productPage=4320801327001,1573259585000,20191109
377221,2,2,6.2,03,542526,1572654785000rndxbc,1572654785000377221719765,douyin,ip=85.14.145.92&deviceNum=377221&lon=null&lat=null&aid=null&ctime=1572654962000&sources=douyin&session=1572654785000377221719765&productPage=4320103169801,1573259585000,20191109
377221,9,2,5.1,04,632724,1572654785000rndxbc,1572654785000377221719765,douyin,ip=85.14.145.92&deviceNum=377221&lon=null&lat=null&aid=null&ctime=1572654962000&sources=douyin&session=1572654785000377221719765&productPage=4320103169801,1573259585000,20191109
277413,9,2,2.7,04,532923,1572654785000podvkg,1572654785000277413247486,liebao,ip=211.38.107.195&deviceNum=277413&lon=null&lat=null&aid=null&ctime=1572654967000&sources=liebao&session=1572654785000277413247486&productPage=4320601298301,1573259585000,20191109
277413,9,2,4.6,08,652824,1572654785000podvkg,1572654785000277413247486,liebao,ip=211.38.107.195&deviceNum=277413&lon=null&lat=null&aid=null&ctime=1572654967000&sources=liebao&session=1572654785000277413247486&productPage=4320601298301,1573259585000,20191109
261374,9,2,6.8,05,610623,1572654785000fpwbgr,1572654785000261374823364,baidu,ip=211.91.41.170&deviceNum=261374&lon=null&lat=null&aid=null&ctime=1572655032000&sources=baidu&session=1572654785000261374823364&productPage=4320107632701,1573259585000,20191109
562882,9,2,3.1,09,652824,1572654785000vtfnmp,1572654785000562882428981,baidu,ip=66.112.178.186&deviceNum=562882&lon=null&lat=null&aid=null&ctime=1572654931000&sources=baidu&session=1572654785000562882428981&productPage=4320809192101,1573259585000,20191109
412932,2,2,5.7,09,540322,1572654785000ocmgeo,1572654785000412932265676,liebao,ip=163.164.204.89&deviceNum=412932&lon=null&lat=null&aid=null&ctime=1572654850000&sources=liebao&session=1572654785000412932265676&productPage=4320405267001,1573259585000,20191109
644363,9,2,5.4,02,140123,1572654785000jpmgec,1572654785000644363211262,ximalaya,ip=241.222.41.105&deviceNum=644363&lon=null&lat=null&aid=null&ctime=1572654974000&sources=ximalaya&session=1572654785000644363211262&productPage=4320107641401,1573259585000,20191109
599229,2,2,1.8,09,652824,1572654785000gohqoo,1572654785000599229443532,netyex,ip=225.71.197.208&deviceNum=599229&lon=null&lat=null&aid=null&ctime=1572655057000&sources=netyex&session=1572654785000599229443532&productPage=4320409492201,1573259585000,20191109
332517,2,2,4.1,02,451121,1572654785000moigxq,1572654785000332517627476,tencent,ip=105.52.204.177&deviceNum=332517&lon=null&lat=null&aid=null&ctime=1572654905000&sources=tencent&session=1572654785000332517627476&productPage=4320503576801,1573259585000,20191109
394682,9,2,7.1,09,440307,1572654785000qcrunx,1572654785000394682689867,liebao,ip=24.206.109.127&deviceNum=394682&lon=null&lat=null&aid=null&ctime=1572654904000&sources=liebao&session=1572654785000394682689867&productPage=4320504935801,1573259585000,20191109
749166,2,2,2.3,09,540627,1572654785000nhokkj,1572654785000749166333163,douyin,ip=241.247.69.32&deviceNum=749166&lon=null&lat=null&aid=null&ctime=1572655024000&sources=douyin&session=1572654785000749166333163&productPage=4320603837601,1573259585000,20191109
349822,9,2,3.6,06,610428,1572654785000bdexxp,1572654785000349822322819,baidu,ip=123.101.209.36&deviceNum=349822&lon=null&lat=null&aid=null&ctime=1572654976000&sources=baidu&session=1572654785000349822322819&productPage=4320408125201,1573259585000,20191109
918263,2,2,9.7,02,620423,1572654785000hcwnht,1572654785000918263979536,douyin,ip=52.214.217.64&deviceNum=918263&lon=null&lat=null&aid=null&ctime=1572655028000&sources=douyin&session=1572654785000918263979536&productPage=4320204186501,1573259585000,20191109
